city,gu,dong,latitude,longitude
서울,중랑구,면목제7동,127.089086111111,37.5762
서울,중구,명동,126.987888888888,37.5572361111111
서울,강동구,명일제1동,127.148022222222,37.5469638888888
서울,강동구,명일제2동,127.153444444444,37.5435527777777
서울,양천구,목1동,126.873233333333,37.5275388888888
서울,양천구,목2동,126.873808333333,37.5433527777777
서울,양천구,목3동,126.866599999999,37.5420972222222
서울,양천구,목4동,126.870497222222,37.5295333333333
서울,양천구,목5동,126.880752777777,37.5324166666666
서울,종로구,무악동,126.961208333333,37.5715388888888
서울,중랑구,묵제1동,127.080586111111,37.6096222222222
서울,중랑구,묵제2동,127.078144444444,37.6067972222222
서울,영등포구,문래동,126.8995421,37.5170965
서울,송파구,문정1동,127.1262,37.4871916666666
서울,송파구,문정2동,127.113063888888,37.4870527777777
서울,관악구,미성동,126.9155534,37.4761761
서울,강북구,미아동,127.029019444444,37.6241361111111
서울,서초구,반포1동,127.014466666666,37.5033194444444
서울,서초구,반포2동,126.996575,37.5017833333333
서울,서초구,반포3동,127.007752777777,37.5091722222222
서울,서초구,반포4동,127.002441666666,37.4947583333333
서울,서초구,반포본동,126.988133333333,37.49765
서울,강서구,발산제1동,126.835244444444,37.5502694444444
서울,서초구,방배1동,126.996608333333,37.4805583333333
서울,서초구,방배2동,126.987611111111,37.4769666666666
서울,서초구,방배3동,127.001133333333,37.4775388888888
서울,서초구,방배4동,126.993322222222,37.4868166666666
서울,서초구,방배본동,126.990833333333,37.4914444444444
서울,송파구,방이1동,127.126011111111,37.5081472222222
서울,송파구,방이2동,127.116533333333,37.5117555555555
서울,도봉구,방학제1동,127.042766666666,37.6614333333333
서울,도봉구,방학제2동,127.037222222222,37.6654361111111
서울,도봉구,방학제3동,127.030077777777,37.6562277777777
서울,강서구,방화제1동,126.814311111111,37.5687722222222
서울,강서구,방화제2동,126.808830555555,37.5638749999999
서울,강서구,방화제3동,126.816019444444,37.5759416666666
서울,강북구,번1동,127.031019444444,37.6351583333333
서울,강북구,번2동,127.040944444444,37.6293861111111
서울,강북구,번3동,127.048688888888,37.6230944444444
서울,용산구,보광동,127.002333333333,37.5234638888888
서울,관악구,보라매동,126.934886111111,37.4853055555555
서울,성북구,보문동,127.0249,37.5775888888888
서울,종로구,부암동,126.966444444444,37.5898555555555
서울,서대문구,북가좌제1동,126.908977777777,37.5767111111111
서울,서대문구,북가좌제2동,126.913219444444,37.5786027777777
서울,서대문구,북아현동,126.958911111111,37.5568694444444
서울,은평구,불광제1동,126.934188888888,37.6075361111111
서울,은평구,불광제2동,126.929819444444,37.6187944444444
서울,성동구,사근동,127.047955555555,37.5584055555555
서울,동작구,사당제1동,126.975733333333,37.4736111111111
서울,동작구,사당제2동,126.979508333333,37.4856194444444
서울,동작구,사당제3동,126.974086111111,37.483825
서울,동작구,사당제4동,126.973722222222,37.4781861111111
서울,동작구,사당제5동,126.969108333333,37.4827972222222
서울,종로구,사직동,126.970955555555,37.5732694444444
서울,강북구,삼각산동,127.019852777777,37.6144305555555
서울,성북구,삼선동,127.009555555555,37.5828472222222
서울,강남구,삼성1동,127.057530555555,37.5090416666666
서울,강남구,삼성2동,127.048086111111,37.5083888888888
서울,관악구,삼성동,126.932963,37.470101
서울,강북구,삼양동,127.020511111111,37.6244833333333
서울,송파구,삼전동,127.094641666666,37.4999777777777
서울,종로구,삼청동,126.983977777777,37.582425
서울,노원구,상계10동,127.062366666666,37.6584333333333
서울,노원구,상계1동,127.057211111111,37.6771027777777
서울,노원구,상계2동,127.070708333333,37.655975
서울,노원구,상계3.4동,127.077466666666,37.661
서울,노원구,상계5동,127.071486111111,37.6602194444444
서울,노원구,상계6.7동,127.069066666666,37.6520888888888
서울,노원구,상계8동,127.053666666666,37.6639444444444
서울,노원구,상계9동,127.065955555555,37.6617111111111
서울,동작구,상도제1동,126.953022222222,37.50405
서울,동작구,상도제2동,126.9444,37.5026416666666
서울,동작구,상도제3동,126.933388888888,37.4963666666666
서울,동작구,상도제4동,126.939875,37.4977777777777
서울,중랑구,상봉제1동,127.089288888888,37.5970277777777
서울,중랑구,상봉제2동,127.085388888888,37.5896111111111
서울,마포구,상암동,126.896811111111,37.5755138888888
서울,강동구,상일제1동,127.1683,37.5506
서울,강동구,상일제2동,127.1759,37.55
서울,마포구,서강동,126.934155555555,37.5444472222222
서울,마포구,서교동,126.922975,37.5496555555555
서울,관악구,서림동,126.937055555555,37.4721638888888
서울,용산구,서빙고동,126.996777777777,37.5176055555555
서울,관악구,서원동,126.9313,37.4797346
서울,서초구,서초1동,127.021111111111,37.486
서울,서초구,서초2동,127.026911111111,37.48925
서울,서초구,서초3동,127.014566666666,37.4807833333333
서울,서초구,서초4동,127.024222222222,37.4998555555555
서울,성북구,석관동,127.063519444444,37.6101611111111
서울,송파구,석촌동,127.105752777777,37.500775
서울,강동구,성내제1동,127.126030555555,37.5278472222222
서울,강동구,성내제2동,127.131586111111,37.5296027777777
서울,강동구,성내제3동,127.134886111111,37.5233722222222
서울,성북구,성북동,127.006086111111,37.5874416666666
서울,마포구,성산제1동,126.910022222222,37.5605833333333
서울,마포구,성산제2동,126.911152777777,37.5659305555555
서울,성동구,성수1가제1동,127.051986111111,37.5389583333333
서울,성동구,성수1가제2동,127.046363888888,37.5435277777777
서울,성동구,성수2가제1동,127.0562,37.5367027777777
서울,성동구,성수2가제3동,127.057333333333,37.5454305555555
서울,관악구,성현동,126.9481357,37.4896244
서울,강남구,세곡동,127.109363888888,37.4663666666666
서울,중구,소공동,126.979108333333,37.5596305555555
서울,성동구,송정동,127.071708333333,37.5517277777777
서울,강북구,송중동,127.035833333333,37.6133611111111
서울,강북구,송천동,127.025955555555,37.6155166666666
서울,송파구,송파1동,127.111819444444,37.5031305555555
서울,송파구,송파2동,127.118911111111,37.4994361111111
서울,구로구,수궁동,126.833566666666,37.4911055555555
서울,은평구,수색동,126.899641666666,37.5813583333333
서울,강남구,수서동,127.107,37.4860277777777
서울,강북구,수유1동,127.019297222222,37.6307333333333
서울,강북구,수유2동,127.022041666666,37.6418805555555
서울,강북구,수유3동,127.025319444444,37.6359722222222
서울,종로구,숭인제1동,127.017663888888,37.5750277777777
서울,종로구,숭인제2동,127.022055555555,37.5720361111111
서울,금천구,시흥제1동,126.899419444444,37.4521472222222
서울,금천구,시흥제2동,126.918830555555,37.4472916666666
서울,금천구,시흥제3동,126.907975,37.4375194444444
서울,금천구,시흥제4동,126.908241666666,37.456175
서울,금천구,시흥제5동,126.910408333333,37.4495861111111
서울,영등포구,신길제1동,126.923477777777,37.5081722222222
서울,영등포구,신길제3동,126.909919444444,37.5046222222222
서울,영등포구,신길제4동,126.913375,37.5056722222222
서울,영등포구,신길제5동,126.907344444444,37.4988222222222
서울,영등포구,신길제6동,126.911944444444,37.4965638888888
서울,영등포구,신길제7동,126.923477777777,37.5036555555555
서울,중랑구,신내1동,127.101552777777,37.6030833333333
서울,중랑구,신내2동,127.096274999999,37.6034305555555
서울,중구,신당동,127.016633333333,37.5593111111111
서울,중구,신당제5동,127.023966666666,37.5623305555555
서울,동작구,신대방제1동,126.912108333333,37.48615
서울,동작구,신대방제2동,126.927975,37.4961222222222
서울,구로구,신도림동,126.882652777777,37.5049777777777
서울,관악구,신림동,126.927075,37.487426
서울,관악구,신사동,126.9180796,37.4854118
서울,강남구,신사동,127.025022222222,37.5213388888888
서울,은평구,신사제1동,126.914386111111,37.5952194444444
서울,은평구,신사제2동,126.914833333333,37.5893333333333
서울,마포구,신수동,126.936641666666,37.5440666666666
서울,관악구,신원동,126.929419444444,37.4787777777777
서울,양천구,신월1동,126.833599999999,37.5300055555555
서울,양천구,신월2동,126.846586111111,37.5221722222222
서울,양천구,신월3동,126.831175,37.5308472222222
서울,양천구,신월4동,126.842155555555,37.5219055555555
서울,양천구,신월5동,126.829444444444,37.5368888888888
서울,양천구,신월6동,126.845766666666,37.5133027777777
서울,양천구,신월7동,126.836763888888,37.5190916666666
서울,양천구,신정1동,126.856397222222,37.5157305555555
서울,양천구,신정2동,126.872697222222,37.5164083333333
서울,양천구,신정3동,126.856886111111,37.5123361111111
서울,양천구,신정4동,126.8608,37.5206361111111
서울,양천구,신정6동,126.866486111111,37.5142472222222
서울,양천구,신정7동,126.861755555555,37.5116
서울,서대문구,신촌동,126.945586111111,37.5567388888888
서울,도봉구,쌍문제1동,127.028177777777,37.6452472222222
서울,도봉구,쌍문제2동,127.040911111111,37.6550805555555
서울,도봉구,쌍문제3동,127.030088888888,37.6461944444444
서울,도봉구,쌍문제4동,127.030544444444,37.653625
서울,마포구,아현동,126.954222222222,37.5443444444444
서울,성북구,안암동,127.023477777777,37.5830583333333
서울,강동구,암사제1동,127.134763888888,37.5487166666666
서울,강동구,암사제2동,127.129352777777,37.5489611111111
서울,강동구,암사제3동,127.140375,37.5523722222222
서울,강남구,압구정동,127.030713,37.530642
서울,중구,약수동,127.011086111111,37.5496583333333
서울,서초구,양재1동,127.038152777777,37.4816361111111
서울,서초구,양재2동,127.043144444444,37.4677805555555
서울,영등포구,양평제1동,126.890286111111,37.5208472222222
서울,영등포구,양평제2동,126.898022222222,37.535
서울,영등포구,여의동,126.936755555555,37.5148888888888
서울,강남구,역삼1동,127.035144444444,37.4925833333333
서울,강남구,역삼2동,127.048855555555,37.4932472222222
서울,은평구,역촌동,126.917277777777,37.6016194444444
서울,마포구,연남동,126.924066666666,37.5616944444444
서울,서대문구,연희동,126.937352777777,37.5711222222222
서울,마포구,염리동,126.947719444444,37.5443861111111
서울,강서구,염창동,126.873044444444,37.5510444444444
서울,영등포구,영등포동,126.910691,37.5203985
서울,영등포구,영등포본동,126.9093046,37.5146826
서울,송파구,오금동,127.130244444444,37.50015
서울,구로구,오류제1동,126.847088888888,37.4942472222222
서울,구로구,오류제2동,126.841608333333,37.4859916666666
서울,송파구,오륜동,127.1365,37.5125888888888
서울,성동구,옥수동,127.013463,37.543717
서울,성동구,왕십리도선동,127.0255591,37.5677544
서울,성동구,왕십리제2동,127.032711111111,37.5583361111111
서울,마포구,용강동,126.943733333333,37.5392472222222
